trace_id,mode,source_file,entries,unique_cells,path_length_m,step_mean_m,step_std_m,signal_mean_dbm,signal_std_dbm
bike:signal-2023-07-02.csv,bike,signal-2023-07-02.csv,1647,109,101823.18940462454,61.860989917754885,45.91296868166552,-101.88403157255615,9.176500769983983
bike:signal-2023-07-03.csv,bike,signal-2023-07-03.csv,857,56,51021.26035329459,59.6042761136619,42.57306966798335,-99.26954492415402,9.909787668001664
bike:signal-2023-07-04.csv,bike,signal-2023-07-04.csv,830,51,50846.76595853902,61.335061469890256,43.68680375303815,-102.36385542168676,8.983258569879533
bike:signal-2023-07-05.csv,bike,signal-2023-07-05.csv,685,36,42256.38240094363,61.77833684348484,42.85465378268151,-99.84525547445256,9.604560738447567
bike:signal-2023-07-06.csv,bike,signal-2023-07-06.csv,736,75,44450.566437360045,60.47696113926537,45.24046599264299,-102.8899456521739,8.740374021775308
bike:signal-2023-07-08.csv,bike,signal-2023-07-08.csv,1567,100,101237.757206598,64.64735453805747,48.97535587555178,-102.23229100191448,8.938542418725115
bike:signal-2023-07-09.csv,bike,signal-2023-07-09.csv,990,59,57583.04951678723,58.22350810595271,42.23012827662007,-102.86565656565656,8.557419388409349
bike:signal-2023-07-17.csv,bike,signal-2023-07-17.csv,670,45,39657.01453950101,59.27804863901496,42.8846321742405,-104.63432835820896,8.99497458765056
bike:signal-2023-07-19.csv,bike,signal-2023-07-19.csv,809,54,46711.188736523,57.81087714916213,43.230477139302415,-105.40296662546352,8.725495999948434
bike:signal-2023-07-20.csv,bike,signal-2023-07-20.csv,1050,40,58324.20671664471,55.59981574513319,42.33825418168632,-103.15619047619047,9.354112147016242
bike:signal-2023-07-21.csv,bike,signal-2023-07-21.csv,839,39,46433.78071357816,55.41023951500973,40.883268950510896,-102.53635280095352,10.23878445321248
bike:signal-2023-07-22.csv,bike,signal-2023-07-22.csv,1561,76,87405.6752640743,56.029279015432245,44.55066656106644,-101.06662395900064,9.285943414892714
bike:signal-2023-07-23.csv,bike,signal-2023-07-23.csv,973,62,56022.594301710895,57.63641389064907,42.48007567584131,-101.32579650565262,10.509415467638377
bike:signal-2023-08-08.csv,bike,signal-2023-08-08.csv,1116,59,78838.6468809357,70.70730661967328,148.60677238693268,-99.16935483870968,9.942802007992867
bike:signal-2023-08-09.csv,bike,signal-2023-08-09.csv,777,82,45340.34767118421,58.42828308142295,43.49837272444927,-100.27284427284428,10.224516742514666
bike:signal-2023-08-10.csv,bike,signal-2023-08-10.csv,902,58,46835.03744444106,51.98117363422981,46.085977963463016,-104.51108647450113,8.524478197011513
bike:signal-2023-08-12.csv,bike,signal-2023-08-12.csv,1673,87,91182.9381162097,54.535250069503405,45.24633765424826,-103.13090257023312,8.754345939334046
bike:signal-2023-08-13.csv,bike,signal-2023-08-13.csv,1037,60,56586.58292370872,54.62025378736362,40.803579386012125,-98.5708775313404,10.64034825985863
bike:signal-2023-08-14.csv,bike,signal-2023-08-14.csv,1078,64,50216.799558209605,46.62655483584921,42.84507737007909,-102.92300556586272,10.623538182183758
bike:signal-2023-08-15.csv,bike,signal-2023-08-15.csv,1675,136,92815.56849416497,55.44538141825864,40.78024041884472,-99.13611940298507,10.85219462710412
bike:signal-2023-08-16.csv,bike,signal-2023-08-16.csv,913,77,45564.23336098914,49.96078219406704,42.26645715616188,-98.03285870755752,10.77109302482196
bike:signal-2023-08-18.csv,bike,signal-2023-08-18.csv,760,47,42343.57439804858,55.788635570551484,52.13057603544494,-96.175,9.46028575567076
bike:signal-2023-08-19.csv,bike,signal-2023-08-19.csv,958,66,51977.97332314995,54.313451748328056,43.0039140671189,-103.40814196242172,10.888570959946232
bike:signal-2023-08-22.csv,bike,signal-2023-08-22.csv,940,46,50975.4705628556,54.286976105277525,39.33521455360476,-102.46808510638296,8.693237929269184
bike:signal-2023-08-23.csv,bike,signal-2023-08-23.csv,1018,60,61618.51973775099,60.588514983039325,42.64135465056492,-99.50392927308448,9.511779703432396
bike:signal-2023-08-25.csv,bike,signal-2023-08-25.csv,934,61,54173.358907189366,58.063621551114,41.300462643867576,-101.4678800856531,9.316268862982454
bike:signal-2023-08-26.csv,bike,signal-2023-08-26.csv,1457,86,75867.81512941222,52.10701588558532,41.551555611953525,-104.8805765271105,8.462571326912805
bike:signal-2023-08-27.csv,bike,signal-2023-08-27.csv,608,31,35149.05963825439,57.90619380272552,41.330251010091246,-97.13322368421052,10.068695696509687
bike:signal-2023-08-29.csv,bike,signal-2023-08-29.csv,648,12,30073.9011433904,46.48207286459104,41.861880680905074,-91.97993827160494,11.36465845173469
bike:signal-2023-08-30.csv,bike,signal-2023-08-30.csv,727,39,42634.66954109866,58.72544013925435,42.88929462812243,-99.3191196698762,9.632730500052515
bike:signal-2023-08-31.csv,bike,signal-2023-08-31.csv,971,61,51216.41692265008,52.80042981716503,42.43353952409122,-101.7631307929969,8.988235822175877
bike:signal-2023-09-01.csv,bike,signal-2023-09-01.csv,783,45,41249.83892187061,52.7491546315481,40.68233785087299,-100.69604086845466,8.144422573974413
bike:signal-2023-09-02.csv,bike,signal-2023-09-02.csv,1378,66,76015.01373189167,55.20335056782256,44.35662871530941,-102.45283018867924,9.126407637904189
bike:signal-2023-09-03.csv,bike,signal-2023-09-03.csv,845,82,46960.96053452875,55.64094850062648,59.114970240492426,-106.8414201183432,9.558833722022536
bike:signal-2023-09-05.csv,bike,signal-2023-09-05.csv,571,39,36397.96704668598,63.856082538045584,51.26955169597616,-100.98949211908932,9.514845709937353
bike:signal-2023-09-06.csv,bike,signal-2023-09-06.csv,833,53,49615.604563269735,59.63414010008382,50.1798440348581,-104.51620648259303,8.86161659938433
bike:signal-2023-09-08.csv,bike,signal-2023-09-08.csv,711,37,48704.37897260027,68.59771686281728,53.53452441253766,-99.0056258790436,8.489588021632843
bike:signal-2023-09-09.csv,bike,signal-2023-09-09.csv,1751,96,101892.5068416308,58.22428962378903,47.443628712610966,-102.07367218732152,9.473022089531858
bike:signal-2023-09-10.csv,bike,signal-2023-09-10.csv,1151,80,60368.62723643108,52.49445846646181,45.01526819832815,-99.03127715030408,10.501535778735752
bike:signal-2023-09-12.csv,bike,signal-2023-09-12.csv,818,61,53451.21883447229,65.42376846324638,48.7878077312018,-104.63691931540342,8.674017988475393
bike:signal-2023-09-13.csv,bike,signal-2023-09-13.csv,558,29,28624.710079524117,51.39086190219769,42.66211472887893,-98.89964157706092,10.3472313690257
bike:signal-2023-09-15.csv,bike,signal-2023-09-15.csv,894,59,56136.57942050417,62.86291088522303,49.39421215823674,-102.85458612975393,9.258232698708309
bike:signal-2023-09-16.csv,bike,signal-2023-09-16.csv,1700,111,101785.07795644076,59.90881574834654,48.593728678573896,-103.04117647058824,10.288460630499053
bike:signal-2023-09-17.csv,bike,signal-2023-09-17.csv,1087,87,67350.12943895778,62.0166937743626,46.133830260193776,-103.22723091076357,9.206856868622566
bike:signal-2023-09-19.csv,bike,signal-2023-09-19.csv,604,41,32918.52804181038,54.59125711743015,45.65163277525247,-102.658940397351,9.376218836607013
bike:signal-2023-09-20.csv,bike,signal-2023-09-20.csv,769,48,43507.24940694431,56.65006433195873,40.74107968100898,-102.85825747724316,7.725083699221218
bike:signal-2023-09-23.csv,bike,signal-2023-09-23.csv,856,47,37865.755857580254,44.28743375155585,43.9093723980345,-100.7359813084112,9.779361001984064
bike:signal-2023-09-25.csv,bike,signal-2023-09-25.csv,961,63,53318.67961652645,55.54029126721505,43.39811817366888,-104.71800208116544,9.72111525249737
bike:signal-2023-09-27.csv,bike,signal-2023-09-27.csv,827,53,44309.80551574679,53.64383234351912,42.27388704421523,-103.6819830713422,8.602420959806924
bike:signal-2023-09-28.csv,bike,signal-2023-09-28.csv,849,58,48797.321454775214,57.54401114949907,44.65019715833039,-104.49587750294464,8.269619963214492
bike:signal-2023-09-30.csv,bike,signal-2023-09-30.csv,1737,104,92670.2644084422,53.38148871454044,41.972120134832586,-100.8762233736327,9.021894561392008
bike:signal-2023-10-01.csv,bike,signal-2023-10-01.csv,1194,89,70758.90927105986,59.31174289275764,42.05316589078836,-103.95561139028476,9.368442314140104
bike:signal-2023-10-03.csv,bike,signal-2023-10-03.csv,890,78,53832.80626704965,60.55433775821107,43.70373686387413,-104.71573033707864,8.751184817072645
bike:signal-2023-10-05.csv,bike,signal-2023-10-05.csv,1104,85,57617.46274771744,52.23704691542832,43.29420522512725,-104.40217391304348,9.170063671418546
bike:signal-2023-10-06.csv,bike,signal-2023-10-06.csv,816,44,45710.72657840395,56.08678107779625,40.54010649699169,-100.64460784313724,8.685330789592552
bike:signal-2023-10-07.csv,bike,signal-2023-10-07.csv,1601,98,95457.04276158693,59.66065172599183,46.31108764157803,-101.55902560899438,10.642937797988932
bike:signal-2023-10-08.csv,bike,signal-2023-10-08.csv,982,59,55643.43929378821,56.72114097226117,39.782294102572095,-102.68737270875764,8.941255636885861
bike:signal-2023-10-12.csv,bike,signal-2023-10-12.csv,1670,109,86446.8108748969,51.79557272312576,100.66212876860484,-105.6251497005988,10.152116787990137
bike:signal-2023-10-14.csv,bike,signal-2023-10-14.csv,1257,87,70296.01816632292,55.96816732987493,39.83972800015728,-102.56324582338902,10.473485177900942
bike:signal-2023-10-20.csv,bike,signal-2023-10-20.csv,870,50,50672.16458812136,58.310891355720784,40.87696193073739,-103.2103448275862,9.596126307577396
bike:signal-2023-10-21.csv,bike,signal-2023-10-21.csv,804,44,44462.162663111965,55.37006558295388,41.83930964374797,-99.70149253731344,10.274004667201856
bike:signal-2023-10-22.csv,bike,signal-2023-10-22.csv,501,36,29053.935850016554,58.10787170003311,43.0021450507868,-101.2994011976048,9.892747178980375
bike:signal-2023-10-23.csv,bike,signal-2023-10-23.csv,754,54,41206.64740742835,54.72330332991813,40.32607695351026,-103.98806366047744,7.199588532022519
bike:signal-2023-10-26.csv,bike,signal-2023-10-26.csv,939,64,50483.25660045822,53.82010298556313,41.86431210959934,-102.73269435569756,9.218557144631646
bike:signal-2023-10-28.csv,bike,signal-2023-10-28.csv,1274,98,72225.84012932309,56.73671651949967,40.39658152794767,-102.00706436420722,9.351119461385396
bike:signal-2023-10-29.csv,bike,signal-2023-10-29.csv,1127,79,62209.30349308967,55.24804928338337,40.79876916537493,-105.5732031943212,8.90807389957214
bike:signal-2023-10-30.csv,bike,signal-2023-10-30.csv,594,1,45246.75621977264,76.30144387820008,22.342584027824326,-101.0,0.0
bike:signal-2023-11-01.csv,bike,signal-2023-11-01.csv,936,68,60601.956180975154,64.81492639676487,205.24485742127803,-104.5630341880342,8.875701548226502
bike:signal-2023-11-04.csv,bike,signal-2023-11-04.csv,1156,77,63010.62999418694,54.55465800362505,40.6419568633228,-105.02076124567472,8.659230215938113
bike:signal-2023-11-05.csv,bike,signal-2023-11-05.csv,1021,83,53322.08426394689,52.276553199947934,40.34430588596356,-102.24387855044074,9.224072870177205
bike:signal-2023-11-09.csv,bike,signal-2023-11-09.csv,878,53,47305.857297627976,53.94054423902848,42.18322081785664,-101.57744874715262,8.537751719571714
bike:signal-2023-11-11.csv,bike,signal-2023-11-11.csv,1752,123,90237.54111806856,51.53486071848576,36.68029941458917,-103.62728310502284,8.717850784387501
bike:signal-2023-11-13.csv,bike,signal-2023-11-13.csv,865,63,50173.07529332051,58.07068899689874,42.935757895133314,-102.92832369942197,9.08072697488084
bike:signal-2023-11-19.csv,bike,signal-2023-11-19.csv,1002,91,62510.85995085379,62.44841153931447,41.28965116313749,-100.95309381237524,9.748473211189705
car:signal-2023-07-02.csv,car,signal-2023-07-02.csv,91,12,7547.409629175032,83.86010699083369,84.30114533221428,-96.21978021978022,14.746057173003866
car:signal-2023-07-03.csv,car,signal-2023-07-03.csv,283,18,14346.265749942444,50.87328280121434,71.97120723906683,-99.9929328621908,12.946476643321056
car:signal-2023-07-04.csv,car,signal-2023-07-04.csv,198,11,6433.9805544237615,32.65979976864853,43.89458312638772,-104.44444444444444,9.589264011764277
car:signal-2023-07-05.csv,car,signal-2023-07-05.csv,389,63,40637.65548512656,104.73622547713028,114.05979066924522,-93.88431876606684,10.630967321046768
car:signal-2023-07-06.csv,car,signal-2023-07-06.csv,482,7,6013.628607876583,12.502346378121796,29.097949836974063,-97.98132780082987,11.205440286435817
car:signal-2023-07-07.csv,car,signal-2023-07-07.csv,2160,50,57995.78549653307,26.862336959950472,69.40156081535645,-108.5912037037037,9.38275686186498
car:signal-2023-07-08.csv,car,signal-2023-07-08.csv,371,47,47574.86480796287,128.58071569719695,135.8680174082228,-96.41239892183287,10.45590187418505
car:signal-2023-07-10.csv,car,signal-2023-07-10.csv,655,81,84868.53880419253,129.76840795748095,110.640282719188,-98.29770992366412,9.833805733975304
car:signal-2023-07-17.csv,car,signal-2023-07-17.csv,776,85,47768.81589795737,61.63718180381596,86.79384132738596,-99.2512886597938,10.62966081589649
